Date,p,tair
1976-01-01,4.65,-17.17
1976-01-02,3.11,-5.49
1976-01-03,4.34,2.55
1976-01-04,2.29,-3.72
1976-01-05,17.32,-2.43
1976-01-06,11.54,0.03
1976-01-07,10.49,-1.53
1976-01-08,21.17,-0.86
1976-01-09,1.25,-1.54
1976-01-10,2.02,-1.08
1976-01-11,2.25,-7.15
1976-01-12,0.14,-9.46
1976-01-13,4.91,-7.35
1976-01-14,0.63,-17.98
1976-01-15,9.56,-14.79
1976-01-16,2.99,-9.81
1976-01-17,0.05,-12.35
1976-01-18,0.22,-8.53
1976-01-19,1.24,-4.72
1976-01-20,0.8,-2.37
1976-01-21,1.21,-8.25
1976-01-22,0,-18.17
1976-01-23,13.22,-15.04
1976-01-24,0.35,-5.48
1976-01-25,4.57,-8.34
1976-01-26,0.13,-18.83
1976-01-27,0.07,-14.97
1976-01-28,0,-4.41
1976-01-29,0,-3.94
1976-01-30,0.93,-4.37
1976-01-31,0.17,-4.81
1976-02-01,0.05,-3.6
1976-02-02,0.01,0.33
1976-02-03,0,-0.73
1976-02-04,0,-7.71
1976-02-05,0,-8.17
1976-02-06,0,-9.3
1976-02-07,0.1,-9.17
1976-02-08,0,-5.94
1976-02-09,0,-5.51
1976-02-10,0.04,-4.01
1976-02-11,3.46,1.59
1976-02-12,8.1,3.41
1976-02-13,3.12,-8.84
1976-02-14,0,-18.15
1976-02-15,0,-19.87
1976-02-16,0.13,-10.71
1976-02-17,1.28,-0.47
1976-02-18,2.08,-0.93
1976-02-19,5.8,0.19
1976-02-20,3.66,-1.22
1976-02-21,1.95,-1.64
1976-02-22,0.31,-4.04
1976-02-23,0,-3.35
1976-02-24,5.05,-0.37
1976-02-25,7.5,-1.57
1976-02-26,0.82,-1.53
1976-02-27,0.18,0.35
1976-02-28,0.35,5.17
1976-02-29,2.75,3.48
1976-03-01,0.78,2.71
1976-03-02,1.93,0.66
1976-03-03,0,-1.55
1976-03-04,0,-2.03
1976-03-05,0.06,-2.48
1976-03-06,5.72,-4.72
1976-03-07,2.18,-3.94
1976-03-08,9.89,3.56
1976-03-09,5.69,-3.05
1976-03-10,0.95,-15.04
1976-03-11,1.65,-16.14
1976-03-12,0.24,-14.33
1976-03-13,2.38,-6.61
1976-03-14,0.59,-3.84
1976-03-15,0,-6.08
1976-03-16,0,-7.96
1976-03-17,1.14,-2.94
1976-03-18,4.62,-1.09
1976-03-19,0.94,-2.46
1976-03-20,4.17,-5.38
1976-03-21,21.72,-6.39
1976-03-22,6.93,-6.7
1976-03-23,6.06,-4.03
1976-03-24,5,-3.82
1976-03-25,10.02,3.98
1976-03-26,8.93,9.6
1976-03-27,4.63,14.53
1976-03-28,4.23,8.46
1976-03-29,19.31,10.74
1976-03-30,5.09,13.13
1976-03-31,7.54,3.58
1976-04-01,11.89,4.72
1976-04-02,9.93,0.08
1976-04-03,7.69,-2.11
1976-04-04,8.19,-0.34
1976-04-05,0.18,2.45
1976-04-06,0.01,4.06
1976-04-07,0,4.38
1976-04-08,0,2.59
1976-04-09,0,1.3
1976-04-10,0,2.44
1976-04-11,0,6.17
1976-04-12,0,6.33
1976-04-13,0,6.31
1976-04-14,0,8.34
1976-04-15,1.89,10
1976-04-16,6.1,12.49
1976-04-17,0.17,5.09
1976-04-18,13.12,7.74
1976-04-19,8.05,3.26
1976-04-20,0.14,6.4
1976-04-21,0.04,7.23
1976-04-22,2.11,9.18
1976-04-23,1.63,4.56
1976-04-24,1.92,1.2
1976-04-25,0,0.22
1976-04-26,2.48,-0.18
1976-04-27,0.23,5.65
1976-04-28,0,9.78
1976-04-29,0,12.36
1976-04-30,0.48,15.88
1976-05-01,4.66,11.35
1976-05-02,0.97,13.31
1976-05-03,0.66,14.9
1976-05-04,1.6,18.02
1976-05-05,6.07,15.14
1976-05-06,6.54,16.34
1976-05-07,11.06,15.23
1976-05-08,0.23,13.6
1976-05-09,0.83,12.3
1976-05-10,0.13,13.68
1976-05-11,1.05,12.5
1976-05-12,1.56,13.39
1976-05-13,1.56,15.49
1976-05-14,1.68,17.8
1976-05-15,1.56,18.59
1976-05-16,2.71,17.94
1976-05-17,2.32,15.58
1976-05-18,1.56,12.43
1976-05-19,3.92,14.93
1976-05-20,9.02,13.49
1976-05-21,13.24,9.93
1976-05-22,1.15,7.53
1976-05-23,0.17,13.53
1976-05-24,0,15.46
1976-05-25,0,12.7
1976-05-26,0,9.24
1976-05-27,0.16,16.78
1976-05-28,6.57,19.26
1976-05-29,0.3,12.66
1976-05-30,22.55,10.37
1976-05-31,0.23,10.26
1976-06-01,8.03,11.2
1976-06-02,4.57,7.81
1976-06-03,3.8,8.33
1976-06-04,5.55,6.27
1976-06-05,2.43,8.77
1976-06-06,11.36,11.39
1976-06-07,4.52,11.3
1976-06-08,0.07,13.16
1976-06-09,0.34,17
1976-06-10,4.33,17.15
1976-06-11,3.71,14.45
1976-06-12,9.85,15.39
1976-06-13,1.35,17.02
1976-06-14,1.44,17.8
1976-06-15,13.54,17.19
1976-06-16,19.87,19.68
1976-06-17,2.5,19.23
1976-06-18,0.32,19.6
1976-06-19,10.59,19.72
1976-06-20,0.18,20.85
1976-06-21,1.2,22.41
1976-06-22,0,22.16
1976-06-23,3.19,22.24
1976-06-24,5.36,20.18
1976-06-25,24.2,19.36
1976-06-26,8.85,15.9
1976-06-27,2.12,13.62
1976-06-28,8.39,16.68
1976-06-29,12.82,19.82
1976-06-30,1.51,13.53
1976-07-01,2,17.14
1976-07-02,2.15,18.94
1976-07-03,14.11,18.47
1976-07-04,5.48,16.87
1976-07-05,5.63,16.18
1976-07-06,5.9,18.35
1976-07-07,10.52,19.38
1976-07-08,11.87,19.45
1976-07-09,33.78,15.21
1976-07-10,5.8,15.28
1976-07-11,0.35,15.65
1976-07-12,0.09,17.15
1976-07-13,0.13,22.23
1976-07-14,0.13,23.93
1976-07-15,4.35,23.93
1976-07-16,20.39,22.34
1976-07-17,0.16,19.23
1976-07-18,0.05,18.63
1976-07-19,11.43,19.65
1976-07-20,0.05,19.62
1976-07-21,0.5,22.31
1976-07-22,4.81,17.14
